algorithm,packet_loss_percent,jitter_ms,baseline_jitter_0_mean_ms,mean_ms,JSI
ECC_TLS,0,0,588.7778,588.7778,1.0
ECC_TLS,0,20,588.7778,671.4258000000001,1.1403721403898044
ECC_TLS,0,50,588.7778,662.6750666666667,1.1255096008488545
ECC_TLS,1,0,780.1769,780.1769,1.0
ECC_TLS,1,20,780.1769,651.4171666666666,0.834960848836548
ECC_TLS,1,50,780.1769,661.5802,0.8479874243905452
ECC_TLS,2,0,702.1789333333334,702.1789333333334,1.0
ECC_TLS,2,20,702.1789333333334,627.9864,0.894339562451508
ECC_TLS,2,50,702.1789333333334,773.8455333333334,1.102063158830171
ECC_TLS,3,0,906.8925,906.8925,1.0
ECC_TLS,3,20,906.8925,709.0717333333333,0.781869662979166
ECC_TLS,3,50,906.8925,747.5813333333333,0.8243329097256106
ECC_TLS,5,0,1133.3956666666668,1133.3956666666668,1.0
ECC_TLS,5,20,1133.3956666666668,1151.861,1.0162920451139894
ECC_TLS,5,50,1133.3956666666668,1013.1105,0.8938718664591093
ECC_TLS,7,0,1200.8198,1200.8198,1.0
ECC_TLS,7,20,1200.8198,1192.8149999999998,0.9933338873992583
ECC_TLS,7,50,1200.8198,1352.0445666666667,1.1259346045648704
ECC_TLS,10,0,1696.4180999999999,1696.4180999999999,1.0
ECC_TLS,10,20,1696.4180999999999,1622.6737333333333,0.9565293681630332
ECC_TLS,10,50,1696.4180999999999,1686.8426333333332,0.9943554795444197
KYBER_TLS,0,0,397.8729333333333,397.8729333333333,1.0
KYBER_TLS,0,20,397.8729333333333,476.8191,1.1984205510167902
KYBER_TLS,0,50,397.8729333333333,446.5203666666667,1.1222687678846883
KYBER_TLS,1,0,618.1061000000001,618.1061000000001,1.0
KYBER_TLS,1,20,618.1061000000001,440.76486666666665,0.7130893331527817
KYBER_TLS,1,50,618.1061000000001,507.27556666666663,0.8206933512978865
KYBER_TLS,2,0,567.1783666666666,567.1783666666666,1.0
KYBER_TLS,2,20,567.1783666666666,520.2164,0.9172007089363011
KYBER_TLS,2,50,567.1783666666666,676.2168333333334,1.1922472242858817
KYBER_TLS,3,0,639.7327,639.7327,1.0
KYBER_TLS,3,20,639.7327,453.63396666666665,0.7090992326430502
KYBER_TLS,3,50,639.7327,636.4611,0.9948859891013856
KYBER_TLS,5,0,637.8575666666667,637.8575666666667,1.0
KYBER_TLS,5,20,637.8575666666667,641.5552666666666,1.005797062217704
KYBER_TLS,5,50,637.8575666666667,787.0658999999999,1.2339210838448937
KYBER_TLS,7,0,737.6380333333333,737.6380333333333,1.0
KYBER_TLS,7,20,737.6380333333333,808.3308666666667,1.0958367520908292
KYBER_TLS,7,50,737.6380333333333,686.5510666666667,0.9307424992230833
KYBER_TLS,10,0,1097.3385666666666,1097.3385666666666,1.0
KYBER_TLS,10,20,1097.3385666666666,864.69,0.7879883440410081
KYBER_TLS,10,50,1097.3385666666666,1084.3434333333332,0.9881575898924175
